address,archetype,cluster,is_noise,SIS,C_D,C_B,C_P,deviation_flag,is_suspicious_gt,coinjoin_score,coinjoin_ratio,total_value,tx_count_total,active_days,recency_days,batch_ratio
bc1pg7ygg7mm8m2qvszmrdnr8jray7gcfjemy0pmgu03x52sp0yfdq3qpzse2w,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.12103163,9.0,1.0,542.0,0.125
bc1q5edwpphxr6nvj8x05vsg0svv6vx5dgzx846jje,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.117534876,13.0,96.71644675925926,797.0,0.0
369WHMA9RdGn6iq1iTRkzns4ZteDtGuwsp,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.05316913,7.0,0.0,0.0,0.0
bc1pg8ek90p0kr6auzk7qpk4qpev543k5hzpcztr50z5ne0pjhp6t2gsqfe0s8,Miners,3,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,1.0,0.6011024,44.0,1.0,783.0,0.046511627906976744
1LCyMmyVWtgpqJeFmKpWQ7qkukGD8AKWFQ,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,1.113616,6.0,1.0,768.0,0.0
bc1q2v4q4n6qfl3ld8g6m5k5607fm2ea3fgazcstc7,Noise,-1,True,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,207.65228,53.0,1.0,460.0,0.09615384615384616
31irDBzsbLqxc7aR7avggqdvtx5QRvRwVn,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,46.0893,11.0,428.02533564814814,501.0,0.0
bc1psjysy5enpu7nnm66cgev986sm2sdshd0gc9vrjwc9edx5apx7lesq6w8dd,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,True,0,0.1,0.2,0.08069982,30.0,37.59739583333333,576.0,0.08
bc1pd2926t7nu2fyvk5rvkgn9uuae5l2ta0tzfywgrz88w2ju4s6r8lquhjt3l,Miners,3,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.8333333333333333,0.6666666666666666,0.31399477,19.0,227.33762731481482,352.0,0.0
39v7CfFz43BWwbAuNzPz7LK2BfDjarEF7u,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,47.039085,18.0,80.92814814814815,300.0,0.0
1PCrLm4iKZMSum774JjNeburepnH3KUAuz,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,154.18445,41.0,528.0271064814815,512.0,0.39285714285714285
bc1pj88pme880kkfnwd3psr9tnruqmja0zut3hg0cjucgyukmqwjm4usnqh3p9,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.09375,0.1875,1.0981092,129.0,173.43296296296296,435.0,0.0
bc1q3k552t070s66shgyafre8zsrj9cwys4fuwwd43,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.21215346,14.0,208.07085648148148,561.0,0.0
1JcN8ifMdRib4ZFKdqHGDR5oSt7yk4HN3C,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.05773325,4.0,0.0,0.0,0.0
1CtD7yat3igcGAKpJh86soQNaoBBKoRFu2,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,170.41129,55.0,561.4061689814815,512.0,0.1388888888888889
bc1p0e79dlz8exvy5nezt2cy3eu9n7zl4m0cennh0xyu4kfzxfw6fc3qp8czrj,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,1.638e-05,3.0,0.0,0.0,0.0
bc1pua46sm0efdcwdkqlv0jt0rvysn2d72g86u94lxn4h2dv2m3dvdzqntrqh7,Miners,3,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,1.0,0.08216699,10.0,1.0,512.0,0.1111111111111111
bc1prgd2h05hyygqfvdd0h9ll6anq6e26tr355m6h08ztc55duyh54qqwus3kc,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,True,0,0.0,0.0,0.02363375,40.0,114.69693287037038,593.0,0.05405405405405406
bc1pglwhmffcl6rwz9tp28fcxrey4tep30l2txx0c6trvw76yungd5cqhh777t,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.00432454,13.0,1.0,384.0,0.0
bc1prk0aktvccf5rdl902pjuuzk0e9p7kqdu2586l9exxrpa6u3smt8qg37a7p,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,5.46e-05,10.0,0.0,0.0,0.0
1NuitmoRpqVXcpFpRPTNYC69Kic2NXCqzR,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,8.329695,10.0,170.17636574074075,823.0,0.0
bc1p0wyy2xcuz8ukjr55q048dcp6rvtwa0kkj98myuw666367vd75jws3qe68w,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.00949116,14.0,0.0,0.0,0.07142857142857142
bc1p3ty7ks8eqqgujkvqmew0n66yyyc8x37pvv9hy23cvxpqv5d6nfestr2qgd,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.03221793,14.0,77.0704050925926,378.0,0.0
3Gtx5C87RhhmJkuXpqBtedLY6KmxuoKyjp,Noise,-1,True,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.75,0.5,415.52655,7.0,346.8817939814815,617.0,0.0
1ChPTVXZqm2PNDv92WXZxeU6jTrkPN9ZDA,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,23.504871,14.0,436.0104398148148,612.0,0.0
1LBZRo82SxyzKA9LQHcMAxPzUCbu7bXxSa,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,0.4096322,5.0,23.446666666666665,1045.0,0.0
bc1papu5prldp2t6vyky9226qp7a2dmq9u34yzflqm6868rgrrlswhxsx3gqsw,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,2.9699999e-05,9.0,0.0,0.0,0.0
bc1pq588c0h22hfg5mxjwtfez6tfmpqghhzr9z0uqj4zgc79r3fjyyqs47p7pm,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.625,0.25,0.43293732,23.0,112.57089120370371,528.0,0.0
177sNoL3okVUittHSwS8jWTevdYutk8PCE,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.525,0.05,209.12189,40.0,190.19842592592593,327.0,0.05
bc1pw26398cs9t098q8z4wds38n4gw6q79j7el6f9k36fw0nljk4e4kqfmj8ge,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.16666666666666666,0.3333333333333333,0.02415976,17.0,131.65537037037038,338.0,0.0
bc1pftacrnupdzm5fw83fmrjjjekh3wzpt9qhpsy9sfpmr62tmup9f0sgleuxr,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.00321203,11.0,0.0,0.0,0.09090909090909091
bc1phn5882fhn5390j3r7aduu4t67fdzg5uhsmmf90tkdgzcqmmc0vhsa8wzlq,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,6.93e-05,21.0,0.0,0.0,0.0
bc1pdm9ts2huhv7nzth4xgv5ls4jfmat522jup6exdlxm7rk50esv06qeyflxn,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.00010788,24.0,0.0,0.0,0.0
14h9QVfgfd1dAFNBk6rkhms7kXK7boobet,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,50.011097,21.0,565.9334953703703,514.0,0.1
3F2kwEYKVdExagj5PPq4VSaiLM6B7CD7W8,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.25,0.5,1.1695406,19.0,62.331296296296294,474.0,0.0
bc1p3a5t4ffdqgcvx8t4r7k74am2a0e9ff2rwxsgll2a6jt7f4ta7axqpmf4q8,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.16666666666666666,0.3333333333333333,0.18917286,21.0,132.1967824074074,316.0,0.0
bc1p7mfmfgcmtdsz52sa73r3x35ucfaa59gemfw795v7uk3th4h4xgpqvv2e5h,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.06666666666666667,0.13333333333333333,0.5942115,72.0,380.3483912037037,364.0,0.017543859649122806
bc1qdun4masu6cjalg8djl0x8x65p67ht7pkgnyqv5,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,4.914e-05,9.0,0.0,0.0,0.0
1JS6Gg1wXXyCBkggYY8qksrLzu3bHZnUh,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,58.632374,25.0,469.5196759259259,512.0,0.08333333333333333
